"module name","license","repository"
"@axe-core/playwright@4.7.0","MPL-2.0","https://github.com/dequelabs/axe-core-npm"
"@babel/parser@7.22.4","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@6.0.2","MIT","https://github.com/braintree/sanitize-url"
"@jridgewell/sourcemap-codec@1.4.14","MIT","https://github.com/jridgewell/sourcemap-codec"
"@popperjs/core@2.11.6","MIT","https://github.com/popperjs/popper-core"
"@tiptap/core@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bold@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bubble-menu@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bullet-list@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-color@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-document@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-floating-menu@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-history@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-image@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-italic@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-list-item@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-ordered-list@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-paragraph@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-strike@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-subscript@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-superscript@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-cell@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-header@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table-row@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-table@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text-align@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text-style@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-underline@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/prosemirror-tables@1.1.4","MIT","https://github.com/prosemirror/prosemirror-tables"
"@tiptap/vue-3@2.0.0-beta.209","MIT","https://github.com/ueberdosis/tiptap"
"@unleash/proxy-client-vue@0.0.8","MIT","https://github.com/Unleash/proxy-client-vue"
"@vue/compiler-core@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/compiler-dom@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/compiler-sfc@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/compiler-ssr@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/devtools-api@6.5.0","MIT","https://github.com/vuejs/vue-devtools"
"@vue/reactivity-transform@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/reactivity@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/runtime-core@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/runtime-dom@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/server-renderer@3.3.4","MIT","https://github.com/vuejs/core"
"@vue/shared@3.3.4","MIT","https://github.com/vuejs/core"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axe-core@4.7.0","MPL-2.0","https://github.com/dequelabs/axe-core"
"axios@1.4.0","MIT","https://github.com/axios/axios"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"csstype@3.1.2","MIT","https://github.com/frenic/csstype"
"dayjs@1.11.7","MIT","https://github.com/iamkun/dayjs"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"estree-walker@2.0.2","MIT","https://github.com/Rich-Harris/estree-walker"
"follow-redirects@1.15.2","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"install@0.13.0","MIT","https://github.com/benjamn/install"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"magic-string@0.30.0","MIT","https://github.com/rich-harris/magic-string"
"maska@2.1.9","MIT","https://github.com/beholdr/maska"
"material-design-icons-iconfont@6.7.0","Apache-2.0","https://github.com/jossef/material-design-icons-iconfont"
"material-icons@1.13.1","Apache-2.0","https://github.com/marella/material-icons"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"nanoid@3.3.6","MIT","https://github.com/ai/nanoid"
"orderedmap@2.1.0","MIT","https://github.com/marijnh/orderedmap"
"picocolors@1.0.0","ISC","https://github.com/alexeyraspopov/picocolors"
"pinia@2.1.3","MIT","https://github.com/vuejs/pinia"
"playwright-core@1.35.0","Apache-2.0","https://github.com/Microsoft/playwright"
"playwright@1.35.0","Apache-2.0","https://github.com/Microsoft/playwright"
"postcss@8.4.24","MIT","https://github.com/postcss/postcss"
"prosemirror-commands@1.5.0","MIT","https://github.com/prosemirror/prosemirror-commands"
"prosemirror-history@1.3.0","MIT","https://github.com/prosemirror/prosemirror-history"
"prosemirror-keymap@1.2.0","MIT","https://github.com/prosemirror/prosemirror-keymap"
"prosemirror-model@1.19.0","MIT","https://github.com/prosemirror/prosemirror-model"
"prosemirror-schema-list@1.2.2","MIT","https://github.com/prosemirror/prosemirror-schema-list"
"prosemirror-state@1.4.2","MIT","https://github.com/prosemirror/prosemirror-state"
"prosemirror-transform@1.7.1","MIT","https://github.com/prosemirror/prosemirror-transform"
"prosemirror-view@1.30.0","MIT","https://github.com/prosemirror/prosemirror-view"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"resize-observer-polyfill@1.5.1","MIT","https://github.com/que-etc/resize-observer-polyfill"
"roboto-fontface@0.10.0","Apache-2.0","https://github.com/choffmeister/roboto-fontface-bower"
"rope-sequence@1.3.3","MIT","https://github.com/marijnh/rope-sequence"
"source-map-js@1.0.2","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"tiny-emitter@2.1.0","MIT","https://github.com/scottcorgan/tiny-emitter"
"tippy.js@6.3.7","MIT","https://github.com/atomiks/tippyjs"
"typescript@5.0.2","Apache-2.0","https://github.com/Microsoft/TypeScript"
"unleash-proxy-client@2.5.0","Apache-2.0","https://github.com/unleash/unleash-proxy-client-js"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid"
"vue-demi@0.14.5","MIT","https://github.com/antfu/vue-demi"
"vue-router@4.1.3","MIT","https://github.com/vuejs/router"
"vue@3.3.4","MIT","https://github.com/vuejs/core"
"w3c-keyname@2.2.6","MIT","https://github.com/marijnh/w3c-keyname"
"webfontloader@1.6.28","Apache-2.0","https://github.com/typekit/webfontloader"
